"ID","AGE","GEND","RaceW","weight"
3,"55 to 64","female","White",0.702305228121138
6,"55 to 64","female","Others",0.903324755280095
10,"55 to 64","male","White",0.295393437502675
22,"55 to 64","female","White",0.702305228121138
44,"45 to 54","female","White",1.44569521015792
66,"55 to 64","male","White",0.295393437502675
71,"55 to 64","male","White",0.295393437502675
82,"65 plus","male","White",0.520017169892844
85,"55 to 64","female","White",0.702305228121138
93,"less than 25","male","Others",2.28437280505166
102,"65 plus","male","White",0.520017169892844
107,"45 to 54","male","White",0.608067348227174
111,"35 to 44","female","Others",4.48210919914583
112,"45 to 54","male","White",0.608067348227174
131,"55 to 64","female","White",0.702305228121138
150,"65 plus","male","White",0.520017169892844
159,"65 plus","female","Others",1.59023296761847
163,"65 plus","female","Others",1.59023296761847
180,"65 plus","male","White",0.520017169892844
183,"45 to 54","female","White",1.44569521015792
191,"45 to 54","male","White",0.608067348227174
198,"65 plus","male","White",0.520017169892844
204,"45 to 54","male","White",0.608067348227174
205,"45 to 54","male","White",0.608067348227174
206,"45 to 54","male","White",0.608067348227174
239,"65 plus","male","White",0.520017169892844
245,"65 plus","male","White",0.520017169892844
251,"45 to 54","male","White",0.608067348227174
282,"55 to 64","female","White",0.702305228121138
285,"35 to 44","male","White",1.79519177010428
308,"55 to 64","male","White",0.295393437502675
315,"25 to 34","female","White",3.85647977720963
323,"55 to 64","female","White",0.702305228121138
329,"less than 25","male","White",1.77602457431611
332,"less than 25","male","White",1.77602457431611
334,"65 plus","male","White",0.520017169892844
341,"55 to 64","female","White",0.702305228121138
347,"25 to 34","male","Others",2.08633483929223
349,"65 plus","female","White",1.23635372612228
355,"35 to 44","female","White",4.26811298274986
358,"45 to 54","male","White",0.608067348227174
364,"65 plus","male","White",0.520017169892844
378,"55 to 64","male","White",0.295393437502675
380,"55 to 64","male","White",0.295393437502675
392,"55 to 64","male","Others",0.379943355052776
402,"45 to 54","male","White",0.608067348227174
409,"55 to 64","male","Others",0.379943355052776
435,"25 to 34","female","White",3.85647977720963
439,"55 to 64","male","White",0.295393437502675
447,"less than 25","male","White",1.77602457431611
460,"55 to 64","female","White",0.702305228121138
470,"55 to 64","female","White",0.702305228121138
494,"65 plus","male","Others",0.668860723124043
496,"55 to 64","male","White",0.295393437502675
520,"45 to 54","female","Others",1.85949387763956
522,"65 plus","male","White",0.520017169892844
528,"65 plus","male","White",0.520017169892844
540,"65 plus","male","White",0.520017169892844
561,"65 plus","male","White",0.520017169892844
562,"65 plus","male","White",0.520017169892844
570,"65 plus","male","White",0.520017169892844
588,"55 to 64","male","White",0.295393437502675
599,"65 plus","male","Others",0.668860723124043
614,"25 to 34","male","White",1.62205658228848
